CHEMBL4287505; 0.964; CCCCNC(=O)N1C[C@H](N(C)C2=C3C=CNC3=NC=N2)C2(CC2)C1
CHEMBL3693622; 0.964; CC(C)(C)OC(=O)N1CCCCC11CCN(C1)C1=C2C=CNC2=NC=N1
CHEMBL4279618; 0.964; CN([C@H]1CN(CC2=CC=CC=C2)CC11CC1)C1=C2C=CNC2=NC=N1
CHEMBL4292627; 0.964; CN([C@H]1CN(CC11CC1)C(=O)C1=CC=C(C=C1)C#N)C1=C2C=CNC2=NC=N1
CHEMBL4293188; 0.964; CN([C@H]1CN(CC11CC1)C(=O)C1=CC=CC(=C1)C#N)C1=C2C=CNC2=NC=N1
CHEMBL4280297; 0.963; CN([C@H]1CN(CC11CC1)C(=O)NC1CCCCC1)C1=C2C=CNC2=NC=N1
CHEMBL4290931; 0.961; CN([C@H]1CN(CC11CC1)C(=O)NC1=CC=CC=C1)C1=C2C=CNC2=NC=N1
CHEMBL4280010; 0.959; CN([C@H]1CN(CC11CC1)C(=O)C1=CC=CN=C1)C1=C2C=CNC2=NC=N1
CHEMBL1630790; 0.959; C[C@@H]1CCN(CC2=CC=CC(F)=C2F)C[C@@H]1N(C)C1=C2C=CNC2=NC=N1
CHEMBL3693630; 0.959; C(N1CCCC11CCN(C1)C1=C2C=CNC2=NC=N1)C1=CC=CC=C1
CHEMBL4293482; 0.958; CN([C@H]1CN(CC11CC1)C(=O)NC1=CC=C(F)C=C1)C1=C2C=CNC2=NC=N1
CHEMBL4226460; 0.947; CN([C@@H]1CCN(C1)C(=O)NC1=CC=CC=C1)C1=C2C=CNC2=NC=N1
CHEMBL4276863; 0.944; CC(C)COC(=O)N1C[C@H](N(C)C2=C3C=CNC3=NC=N2)C2(CC2)C1
CHEMBL2314500; 0.943; CN1CCCN(CC1)C1=C2C=CNC2=NC(N)=N1
CHEMBL3693634; 0.943; O=C(CC#N)N1CCCCC11CCN(C1)C1=C2NC=NC2=NC=N1
CHEMBL3718545; 0.941; CC(C)(C)OC(=O)NC1CCCN(C1)C1=NC=NC2=C1C1=C(N2)C=CC(=C1)C(N)=O
CHEMBL570598; 0.937; CC1=CNC2=NC=NC(N3CCC(CC3)C(=O)NC3=CC=CC=C3)=C12
