ChemblID;Score;Smile;ROMol;tanimoto_maccs;dice_maccs;tanimoto_morgan;dice_morgan
CHEMBL4075230;0.997; CC(=O)N1CC[C@H]2CCN([C@H]2C1)C1=C2C=CNC2=NC=N1;<rdkit.Chem.rdchem.Mol object at 0x7f5acfeac4b0>;0.8363636363636363;0.9108910891089109;0.4027777777777778;0.5742574257425742
CHEMBL1630798;0.997; C[C@@H]1CCN(C[C@@H]1N(C)C1=C2C=CNC2=NC=N1)C(=O)C1CCCC1;<rdkit.Chem.rdchem.Mol object at 0x7f5acfeac510>;0.9259259259259259;0.9615384615384616;0.6984126984126984;0.822429906542056
CHEMBL4642854;0.997; O=C(CC#N)N1CCC2CN(CC12)C1=C2C=CNC2=NC=N1;<rdkit.Chem.rdchem.Mol object at 0x7f5acfeac570>;0.8363636363636363;0.9108910891089109;0.4861111111111111;0.6542056074766355
CHEMBL4225073;0.996; CN([C@H]1CN(CC11CCC1)C(=O)CC#N)C1=C2C=CNC2=NC=N1;<rdkit.Chem.rdchem.Mol object at 0x7f5acfeac5d0>;0.8771929824561403;0.9345794392523364;0.6231884057971014;0.7678571428571429
CHEMBL4062946;0.996; C=CC(=O)N1CCC[C@H](C1)NC1=C2C=CNC2=NC=N1;<rdkit.Chem.rdchem.Mol object at 0x7f5acfeac630>;0.7049180327868853;0.8269230769230769;0.3783783783783784;0.5490196078431373
CHEMBL3689525;0.996; CC1N(CCC11CCN1C(=O)CC#N)C1=C2C=CNC2=NC=N1;<rdkit.Chem.rdchem.Mol object at 0x7f5acfeac690>;0.8305084745762712;0.9074074074074074;0.4794520547945205;0.6481481481481481
CHEMBL4645444;0.996; O=C(CC#N)N1CC2CCN(C2C1)C1=C2C=CNC2=NC=N1;<rdkit.Chem.rdchem.Mol object at 0x7f5acfeac6f0>;0.8363636363636363;0.9108910891089109;0.5285714285714286;0.6915887850467289
CHEMBL4227865;0.996; CCN([C@@H]1CCN(C1)C(=O)CC#N)C1=C2C=CNC2=NC=N1;<rdkit.Chem.rdchem.Mol object at 0x7f5acfeac750>;0.8727272727272727;0.9320388349514563;0.676923076923077;0.8073394495412844
CHEMBL1630794;0.996; C[C@@H]1CCN(C[C@@H]1N(C)C1=C2C=CNC2=NC=N1)C(=O)CC1CCCC1;<rdkit.Chem.rdchem.Mol object at 0x7f5acfeac7b0>;0.9629629629629629;0.9811320754716981;0.746031746031746;0.8545454545454545
CHEMBL4062806;0.996; C[C@@H]1C[C@H](CN(C1)C(=O)C=C)NC1=C2C=CNC2=NC=N1;<rdkit.Chem.rdchem.Mol object at 0x7f5acfeac810>;0.7166666666666667;0.8349514563106796;0.35526315789473684;0.5242718446601942
CHEMBL3693623;0.995; CC(=O)N1CCCCC11CCCN(C1)C1=C2C=CNC2=NC=N1;<rdkit.Chem.rdchem.Mol object at 0x7f5acfeac870>;0.8070175438596491;0.8932038834951457;0.3037974683544304;0.46601941747572817
CHEMBL3693603;0.995; FC1(F)CCN(C(=O)CC#N)C11CCCN(C1)C1=C2C=CNC2=NC=N1;<rdkit.Chem.rdchem.Mol object at 0x7f5acfeac8d0>;0.7704918032786885;0.8703703703703703;0.4;0.5714285714285714
CHEMBL4085457;0.995; C[C@H]1CC[C@H](CN1C(=O)C=C)NC1=C2C=CNC2=NC=N1;<rdkit.Chem.rdchem.Mol object at 0x7f5acfeac930>;0.75;0.8571428571428571;0.35064935064935066;0.5192307692307693
CHEMBL3689529;0.995; FC1(F)CCN(CC11CCCN1C(=O)CC#N)C1=C2C=CNC2=NC=N1;<rdkit.Chem.rdchem.Mol object at 0x7f5acfeac990>;0.7704918032786885;0.8703703703703703;0.4;0.5714285714285714
CHEMBL3693627;0.995; CCC(=O)N1CCCC11CCN(C1)C1=C2C=CNC2=NC=N1;<rdkit.Chem.rdchem.Mol object at 0x7f5acfeac9f0>;0.7931034482758621;0.8846153846153846;0.3291139240506329;0.49523809523809526
CHEMBL4090883;0.994; CN([C@@H]1CCCN(C1)C(=O)C=C)C1=C2C=CNC2=NC=N1;<rdkit.Chem.rdchem.Mol object at 0x7f5acfeaca50>;0.8392857142857143;0.912621359223301;0.5;0.6666666666666666
CHEMBL3693621;0.994; CC(=O)N1CCCCC11CCN(C1)C1=C2C=CNC2=NC=N1;<rdkit.Chem.rdchem.Mol object at 0x7f5acfeacab0>;0.8070175438596491;0.8932038834951457;0.3037974683544304;0.46601941747572817
CHEMBL4649779;0.994; CN(C1CCN(C1)C1=C2C=CNC2=NC=N1)C(=O)CC#N;<rdkit.Chem.rdchem.Mol object at 0x7f5acfeacb10>;0.9090909090909091;0.9523809523809523;0.5070422535211268;0.6728971962616822
CHEMBL4069969;0.994; C[C@H]1CCN(C[C@@H]1NC1=C2C=CNC2=NC=N1)C(=O)C=C;<rdkit.Chem.rdchem.Mol object at 0x7f5acfeacb70>;0.7704918032786885;0.8703703703703703;0.4444444444444444;0.6153846153846154
CHEMBL4226571;0.994; O=C(CC#N)N1CC[C@H](C1)N(CC1CC1)C1=C2C=CNC2=NC=N1;<rdkit.Chem.rdchem.Mol object at 0x7f5acfeacbd0>;0.8363636363636363;0.9108910891089109;0.6417910447761194;0.7818181818181819
CHEMBL4083165;0.994; C[C@@H]1CCN(C[C@H]1NC1=C2C=CNC2=NC=N1)C(=O)C=C;<rdkit.Chem.rdchem.Mol object at 0x7f5acfeacc30>;0.7704918032786885;0.8703703703703703;0.4444444444444444;0.6153846153846154
CHEMBL1630795;0.994; CC1CCN(CC1N(C)C1=C2C=CNC2=NC=N1)C(=O)C1CCC(=O)C1;<rdkit.Chem.rdchem.Mol object at 0x7f5acfeacc90>;0.864406779661017;0.9272727272727272;0.6470588235294118;0.7857142857142857
